E,syst,bin_center,hist_val
1000,no_syst,5560.714285714286,0.0010413041009101804
1000,no_syst,5653.571428571429,0.0010275007529492878
1000,no_syst,5746.428571428572,0.0009949506756102239
1000,no_syst,5839.285714285715,0.0008951571550449765
1000,no_syst,5932.142857142857,0.0007959480791916048
1000,no_syst,6025.0,0.0006338880169690117
1000,no_syst,6117.857142857143,0.0004930345845544512
1000,no_syst,6210.714285714286,0.00029108024562928334
1000,no_syst,6303.571428571429,4.560531253741058e-05
1000,no_syst,6396.428571428572,0.0
1000,no_syst,6489.285714285715,0.0
1000,no_syst,6582.142857142857,0.0
1000,no_syst,6675.0,0.0
1000,no_syst,6767.857142857143,0.0
1000,no_syst,6860.714285714286,0.0
1000,no_syst,6953.571428571429,0.0
10,no_syst,546.4285714285714,0.0
10,no_syst,639.2857142857143,0.0
10,no_syst,732.1428571428571,0.0
10,no_syst,825.0,0.0
10,no_syst,917.8571428571429,1.0815738444540284e-06
10,no_syst,1010.7142857142858,1.0815738444540298e-05
10,no_syst,1103.5714285714284,4.7589249155977284e-05
10,no_syst,1196.4285714285716,0.00014168617362347687
10,no_syst,1289.2857142857142,0.0003601640902031969
10,no_syst,1382.1428571428573,0.0006489443066724329
10,no_syst,1475.0,0.0010177609876311398
10,no_syst,1567.857142857143,0.001188649655054859
10,no_syst,1660.7142857142858,0.0012459730688109138
10,no_syst,1753.5714285714284,0.001130244667454784
10,no_syst,1846.4285714285716,0.0009896400676758354
10,no_syst,1939.2857142857142,0.0008100988094963942
10,no_syst,2032.142857142857,0.000564581546805232
10,no_syst,2125.0,0.0005040134115157794
10,no_syst,2217.857142857143,0.0004012638962926055
10,no_syst,2310.7142857142862,0.0003190642841140679
10,no_syst,2403.5714285714284,0.00026174087035798116
10,no_syst,2496.4285714285716,0.00021198847351307462
10,no_syst,2589.2857142857147,0.00017954125817944163
10,no_syst,2682.142857142857,0.00014925719053471653
10,no_syst,2775.0,0.0001373598782457167
10,no_syst,2867.857142857143,8.760748140081188e-05
10,no_syst,2960.714285714286,0.00010166794137871944
10,no_syst,3053.5714285714284,7.571016911181273e-05
10,no_syst,3146.4285714285716,5.624183991163204e-05
10,no_syst,3239.2857142857147,5.407869222272338e-05
10,no_syst,3332.1428571428573,3.677351071145172e-05
10,no_syst,3425.0,2.8120919955816154e-05
10,no_syst,3517.857142857143,7.571016911181274e-06
10,no_syst,3610.714285714286,0.0
10,no_syst,3703.5714285714284,0.0
10,no_syst,3796.4285714285716,0.0
10,no_syst,3889.2857142857147,0.0
10,no_syst,3982.1428571428573,0.0
10,no_syst,4075.0,0.0
10,no_syst,4167.857142857143,0.0
10,no_syst,4260.714285714286,0.0
10,no_syst,4353.571428571428,0.0
